symbol,date,side,price,pf_w
GAZP,2010-01-11,BUY,194.5,0.4
LKOH,2010-01-11,BUY,1750.98,0.04
PIKK,2010-01-11,BUY,129.89,0.04
ROSN,2010-01-11,BUY,271.7,0.4
SBER,2010-01-11,BUY,86.69,0.41902493314925
SBERP,2010-01-11,BUY,71.94,0.205834241989455
SIBN,2010-01-11,BUY,170.68,0.432539240940456
GAZP,2010-01-12,SELL,191.8,0.4
PIKK,2010-01-12,SELL,128.5,0.4
SIBN,2010-01-12,SELL,169.6,0.316262166289396
PIKK,2010-01-13,BUY,129.9,0.4
LKOH,2010-01-14,SELL,1726.8,0.04
SBERP,2010-01-15,SELL,72.88,0.4
ROSN,2010-01-18,SELL,270.87,0.04
SBERP,2010-01-18,BUY,73.91,0.4
SIBN,2010-01-18,SELL,166.18,0.04
SBERP,2010-01-19,SELL,73.55,0.4
ISKJ,2010-01-20,BUY,16.124,0.4
ISKJ,2010-01-21,SELL,15.4,0.04
PIKK,2010-01-22,SELL,155,0.4
SBER,2010-01-22,SELL,86.5,0.584859175138705
ISKJ,2010-01-25,BUY,16.473,0.08
ISKJ,2010-01-26,SELL,15.75,0.08
PIKK,2010-01-28,BUY,153.12,0.4
SBERP,2010-01-28,BUY,72.17,0.4
GAZP,2010-01-29,BUY,186.44,0.4
ISKJ,2010-01-29,BUY,16,0.04
SBER,2010-01-29,BUY,88.41,0.04
SIBN,2010-01-29,BUY,152.95,0.316262166289396
ISKJ,2010-02-01,SELL,15.975,0.04
PIKK,2010-02-01,SELL,154.77,0.4
SBERP,2010-02-01,SELL,72.1,0.4
SIBN,2010-02-01,SELL,150.2,0.316262166289396
SIBN,2010-02-02,BUY,153.44,0.356262166289396
SBER,2010-02-03,SELL,88.08,0.04
GAZP,2010-02-04,SELL,186.59,0.4
SIBN,2010-02-04,SELL,149.5,0.316262166289396
SIBN,2010-02-10,SELL,142.02,0.04
PIKK,2010-02-12,BUY,140.7,0.4
SBER,2010-02-16,BUY,83.25,0.04
SIBN,2010-02-16,BUY,142.7,0.356262166289396
PIKK,2010-02-18,SELL,145.75,0.4
SIBN,2010-02-18,SELL,142.38,0.316262166289396
SBER,2010-02-19,SELL,79.17,0.04
ISKJ,2010-02-26,BUY,15.95,0.08
SIBN,2010-02-26,SELL,138.25,0.04
ISKJ,2010-02-27,SELL,14.98,0.08
PIKK,2010-02-27,BUY,151.4,0.4
SIBN,2010-02-27,BUY,139.72,0.316262166289396
PIKK,2010-03-01,SELL,149.72,0.4
SBER,2010-03-01,BUY,80.26,0.04
SBERP,2010-03-01,BUY,66.38,0.4
SIBN,2010-03-02,BUY,140.69,0.04
GAZP,2010-03-03,BUY,170.1,0.4
SBERP,2010-03-04,SELL,67.51,0.4
